20140808001	:::	The Geocentric model and the Heliocentric model. Greeks thought that the Earth is the center of the universe and they thought other planets and the Sun is orbiting around the Earth. But scientists like Copernicus or Galileo discovered that the Earth is not the center of the universe. They thought the Sun is the center of the universe and all planets including the Earth are orbiting around the Sun.	10
20180808076	:::	"1- Geocentric : Planets are move around Earth. Earth is center of universe. 2-Heliocentric : Planets are move around the Sun."	10
20140808003	:::	One of them classical mechanics and other of them universal graviton. 0	
20150807017	:::	"The Greeks looked at the skies and saw the stars and think of that they are put there for purpose and heavenly bodies, the earth at the center of them and everything revolves around earth. At first they think that earth is flat but some of them measured shadow of objects and used distances to calculate curvature of earth and his rotation. But they approached it as heavenly body, something holy and not reachable. Newton approached astronomy as phisical, uncharted and lot to learn from. He and other scientist at that age calculated a lot of space's veriaties and used that information to calculate other things and understand earth and what is beyond earth."	12
20160807006	:::	yapamadim	0
20160807009	:::	"1)Mathematics important thing for stdying astonomy. 2)"	0
20160808016	:::	Greeks believes geocenteric theory but newton heliocentric. Greeks observed planets and sky but newton decided rules of planets. 	10
20160808017	:::	These are astonomy and calculus.	0
20160808025	:::	Heliocentric Model , Ptolemy's Geocentric Model	10
20160808059	:::	The adoption of science, which is one of the tools of understanding and transforming nature and society, as one of the elements that will organize social life.	0
20170808017	:::	"Greeks made their research based on observations. Using only shadows they calculated the size of the earth and the moon and also the distance between them."	0
20170808022	:::	Assemblies has power to pass law. 	0
20170808027	:::	"geosentric model heliocentric model"	10
20170808041	:::	Geocentric and Heliocentric	10
20170808045	:::	"Systematic approach to observe nature and deduce cause of effect. (greeks)"	0
20170808055	:::	Ancient Greeks developed astronomy , they used their eyes to look at the stars and they tried to make a meaning of it. With the development of technology , telescopes and other inventions became an auxiliary tool for studying astronomy(for example Galileo built his own telescope). They used them to look more closely at the stars and planets. There are 2 methods of studying astronomy.First is theoretical astronomy which uses math to explain the observations and predict what is going to happen. Second is observational astronomy which with the telescopes and cameras, observing the astronomical objects.	-20
20170808068	:::	"1.Heliocentric 2.Geocentric"	10
20180808002	:::	One is heliocentric theory, the other one is Earth centered theory.	5
20180808004	:::	Euclid, trigonometry, geocentric	5
20180808010	:::	Geocentric model and Heliocentric model	10
20180808012	:::	"Aristotle's geocentric views a heliocentric model of the Solar system motion of Aristotle"	10
20180808016	:::	Heliocentric and geocentric models. Geocentric model states that the Earth is the center of universe and Sun and the other planets move around it while Heliocentric model states that the Earth and other planets orbits the Sun.	10
20180808019	:::	"Geocentric and heliocentric models. Greeks believed that Earth was the center of the universe and everything around it orbits the Earth(Geocentric model). Newton, Galileo and Kepler proved that actually Earth orbits the sun just like other planets in our solar system(Heliocentric model)."	10
20180808020	:::	Geocentric and heliocentric system	10
20180808024	:::	"1) Geocentric  say that the Eart is the center of the universe and other planets revolve around the Earth. 2)Heliocentric  say that the Sun is the center of the universe . Earth and other planets revolve arıund the Sun.  According the heliosantric system planets move the backwards(retrograde)"	10
20180808028	:::	 	0
20180808029	:::	Geocentric and heliocentric	10
20180808030	:::	The earth is the center of the universe and everything revolves around the earth.	0
20180808038	:::	geocentric, heliocentric	10
20180808041	:::	Geocentric model and Heliocentric model. In the greeks, everything has to be perfect, and more divinly. But in the scientific era, it is based on theories and proofs.	10
20180808045	:::	"Heliocentric model says earth and planet turn around the sun at the center of the universe. Geocentric says earth at the all other heavenly bodies turning around earth"	10
20180808046	:::	Deductive vs Inductive Science.	0
